__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
__BEGIN__;;R2;11805;R2;R2;RE2;R2;RE7;R2;R2;19230/1;R2;R2
;;21800/1;;11223 (D);93804/5;19221 (D);19873;19591;19813 (D);21824/5;ŁUKOWIANKA;19875;93250/1
;;;;;(D);;;(B) [1];;;(B);;(D)
;;CZACHÓWEK PŁD.;;;Sochaczew;;;;;Radom;WARSZAWA SŁUŻEW.;;Błonie
Warszawa Zachodnia;o o;15:05;;15:20;15:27;15:30;15:35;;16:05;16:20;16:31;16:39;16:57
Warszawa Ochota;;15:09;;15:24;15:31; <;15:39;;16:09;16:24; <;16:43;17:01
Warszawa Śródmieście;o;15:12;;15:27;15:35;< ;15:42;;16:12;16:27;< ;16:46;17:05
Warszawa Centralna;p;< ;;< ;< ;15:34;< ;;< ;< ;16:35;< ;< 
Warszawa Centralna;o;< ;;< ;< ;15:35;< ;;< ;< ;16:40;< ;< 
Warszawa Powiśle;o o;15:15;;15:30;15:37;< ;15:45;;16:15;16:30;< ;16:49;17:07
Warszawa Stadion;;15:17;;15:32;15:40;< ;15:47;;16:17;16:32;< ;16:51;17:10
Warszawa Wschodnia;p;15:19;;15:34;15:42;15:41;15:49; ;16:19;16:34;16:46;16:53;17:12
Warszawa Wschodnia;o;15:20;;15:35;15:43;15:43;15:50;15:54;16:20;16:35;16:47;16:54;17:13
Warszawa Rembertów;p;15:26;;15:42;15:50;|;15:56;|;16:27;16:41;|;17:00;17:20
Warszawa Rembertów;o;15:27;; ;15:52;|;15:57;|;16:28;16:42;|;17:01; 
W-wa Wesoła;o o;15:31;;;15:56;|;16:01;|;16:32;16:46;|;17:05;
W-wa Wola Grzybowska;;15:34;;;15:58;|;16:04;|;16:34;16:49;|;17:08;
Sulejówek;o;15:36;;;16:01;|;16:06;|;16:37;16:51;|;17:10;
Sulejówek Miłosna;p;15:39;;;16:03;|;16:08;16:12;16:39;16:53;|;17:12;
Sulejówek Miłosna;o;15:39;;;16:03;|;16:08;16:13;16:39;17:00;|;17:12;
Halinów;o o;15:43;;;16:07;15:58;16:12;|;16:43;17:03;17:00;17:16;
Cisie;;15:46;;;16:09;|;16:15;|;16:46;17:06;|;17:19;
Dębe Wielkie;o o;15:49;;;16:12;|;16:17;|;16:49;17:09;|;17:21;
Nowe Dębe Wielkie;;15:51;;;16:14;|;16:19;|;16:51;17:11;|;17:23;
Wrzosów;o;15:54;;;16:17;|;16:22;|;16:54;17:14;|;17:26;
Mińsk Maz.;p;15:58;;;16:21;16:08;16:26;;16:58;17:19;17:09;17:30;
Mińsk Maz.;o; ;;; ;16:09;16:27;; ; ;17:10;17:31;
Mińsk Maz. Anielina;o o;;;;;|;16:29;;;;|;17:33;
Barcząca;;;;;;|;16:32;;;;|;17:36;
Mienia;o o;;;;;|;16:36;;;;|;17:40;
Cegłów;;;;;;16:16;16:39;;;;17:17;17:43;
Mrozy;p;;;;;16:20;16:42;;;;17:21;17:46;
Grodziszcze Maz.;o o;;;;;16:21;16:52;;;;17:22;17:47;
Grodziszcze Maz.;;;;;;|;16:56;;;;|;17:51;
Sosnowe;o o;;;;;|;17:00;;;;|;17:55;
Koszewnica;;;;;;|;17:03;;;;|;17:58;
Kotuń;o o;;;;;16:30;17:07;;;;17:32;18:02;
Sabinka;;;;;;|;17:12;;;;|;18:07;
Siedlce Zach.;o;;;;;16:37;17:15;;;;17:40;18:10;
Siedlce;p;; ;;;16:40;17:18;;;;17:43;18:13;
Siedlce;o;;16:46;;; ; ;;;;17:45; ;
Siedlce Wschodnie;o o;;16:49;;;;;;;;17:48;;
Białki Siedleckie;;;16:52;;;;;;;;17:51;;
Kosiorki;o o;;16:55;;;;;;;;17:54;;
Borki Kosy;;;16:58;;;;;;;;17:57;;
Dziewule;o o;;17:02;;;;;;;;18:01;;
Radomyśl;;;17:05;;;;;;;;18:04;;
Krynka Łukowska;o p;;17:08;;;;;;;;18:07;;
Łuków;;;17:13;;;;;;;;18:13;;
__BEGIN__;;R2;R2;R2;RE2;RE2;RE2;R2;R2;R2;R2;R2;R2
;;93816/7;10465;21826/7;93862/3;93266/7;93862/3;19877;19877;10467 (D);93230/1;93732/3;21842/3
;;(D);;(D);(D) [1];(D);(D) [2];[3];[4];;(D);(D);(D)
;;Piaseczno;;Radom;Żyrardów;Sochaczew;Żyrardów;;;;Piaseczno;GRODZISK MAZ.;Radom
Warszawa Zachodnia;o o;17:05;;17:20;17:21;17:27;17:29;17:39;17:39;;17:57;18:05;18:20
Warszawa Ochota;;17:09;;17:24; <;17:31; <;17:43;17:43;;18:01;18:09;18:24
Warszawa Śródmieście;o;17:12;;17:27;< ;17:35;< ;17:46;17:46;;18:05;18:13;18:27
Warszawa Centralna;p;< ;;< ;17:25;< ;17:33;< ;< ;;< ;< ;< 
Warszawa Centralna;o;< ;;< ;17:35;< ;17:35;< ;< ;;< ;< ;< 
Warszawa Powiśle;o o;17:15;;17:30;< ;17:37;< ;17:49;17:49;;18:07;18:15;18:30
Warszawa Stadion;;17:17;;17:32;< ;17:40;< ;17:51;17:51;;18:10;18:18;18:32
Warszawa Wschodnia;p;17:19;;17:34;17:41;17:42;17:41;17:53;17:53;;18:12;18:20;18:34
Warszawa Wschodnia;o;17:20;;17:35;17:42;17:43;17:42;17:54;17:54;;18:13;18:21;18:35
Warszawa Rembertów;p;17:27;;17:41;|;17:49;|;18:00;18:00;;18:20;18:27;18:42
Warszawa Rembertów;o;17:28;;17:42;|; ;|;18:01;18:01;; ;18:28;18:43
W-wa Wesoła;o o;17:32;;17:46;|;;|;18:05;18:05;;;18:32;18:47
W-wa Wola Grzybowska;;17:34;;17:49;|;;|;18:08;18:08;;;18:34;18:49
Sulejówek;o;17:37;;17:51;|;;|;18:10;18:10;;;18:37;18:52
Sulejówek Miłosna;p;17:39;;17:54;|;;|;18:12;18:12;;;18:39;18:54
Sulejówek Miłosna;o;17:39;;18:01;|;;|;18:12;18:12;;;18:39;18:54
Halinów;o o;17:43;;18:04;18:01;;18:01;18:16;18:16;;;18:43;18:58
Cisie;;17:46;;18:07;|;;|;18:19;18:19;;;18:46;19:01
Dębe Wielkie;o o;17:49;;18:10;|;;|;18:21;18:21;;;18:49;19:04
Nowe Dębe Wielkie;;17:51;;18:12;|;;|;18:23;18:23;;;18:51;19:06
Wrzosów;o;17:55;;18:15;|;;|;18:26;18:26;;;18:54;19:09
Mińsk Maz.;p;18:00;;18:19;18:09;;18:09;18:30;18:30;;;18:58;19:13
Mińsk Maz.;o; ;; ;18:10;;18:10;18:31;18:31;;;18:59; 
Mińsk Maz. Anielina;o o;;;;|;;|;18:33;18:33;;;19:02;
Barcząca;;;;;|;;|;18:36;18:36;;;19:05;
Mienia;o o;;;;|;;|;18:40;18:40;;;19:08;
Cegłów;;;;;18:17;;18:17;18:43;18:43;;;19:12;
Mrozy;p;;;;18:21;;18:21;18:46;18:46;;;19:16;
Grodziszcze Maz.;o o;;;;18:21;;18:21;18:55;18:47;;; ;
Grodziszcze Maz.;;;;;|;;|;18:59;18:51;;;;
Sosnowe;o o;;;;|;;|;19:03;18:55;;;;
Koszewnica;;;;;|;;|;19:06;18:58;;;;
Kotuń;o o;;;;18:30;;18:30;19:10;19:02;;;;
Sabinka;;;;;|;;|;19:15;19:07;;;;
Siedlce Zach.;o;;;;18:37;;18:37;19:18;19:10;;;;
Siedlce;p;; ;;18:40;;18:40;19:21;19:13; ;;;
Siedlce;o;;18:45;; ;; ; ; ;19:26;;;
Siedlce Wschodnie;o o;;18:48;;;;;;;19:29;;;
Białki Siedleckie;;;18:51;;;;;;;19:32;;;
Kosiorki;o o;;18:54;;;;;;;19:35;;;
Borki Kosy;;;18:57;;;;;;;19:38;;;
Dziewule;o o;;19:01;;;;;;;19:42;;;
Radomyśl;;;19:04;;;;;;;19:45;;;
Krynka Łukowska;o p;;19:07;;;;;;;19:48;;;
Łuków;;;19:12;;;;;;;19:53;;;
__BEGIN__;;R2;RE2;R2;R2;R2;R2;R2;R2;R2;R2;R2;
;;19879;19233 (B);21844/5;10469;19881;19883 (B);19885;19815 (B);19887;19893;19889;
;;;;(D);;;;;;;;;
