__BEGIN__;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
;;11866;91886;91832/3;11868 (D);91888;11870;91848/9;91848/9;;;;
;;;;(D);;;;[1];[2];;;;
;;;;;;;;;;;;;
Łuków;o o;20:03;;;21:13;;22:05;;;;;;
Krynka Łukowska;;20:09;;;21:19;;22:11;;;;;;
Radomyśl;o o;20:12;;;21:22;;22:14;;;;;;
Dziewule;;20:15;;;21:25;;22:17;;;;;;
Borki Kosy;o o;20:19;;;21:29;;22:21;;;;;;
Kosiorki;;20:22;;;21:32;;22:24;;;;;;
Białki Siedleckie;o o;20:25;;;21:35;;22:27;;;;;;
Siedlce Wschodnie;;20:27;;;21:37;;22:29;;;;;;
Siedlce;p;20:30; ;;21:40; ;22:32; ; ;;;;
Siedlce Zach.;o o; ;20:45;; ;21:52; ;22:37;22:37;;;;
Siedlce Zach.;;;20:48;;;21:55;;22:40;22:40;;;;
Sabinka;o o;;20:51;;;21:59;;22:44;22:44;;;;
Kotuń;;;20:57;;;22:04;;22:50;22:50;;;;
Koszewnica;o o;;21:01;;;22:08;;22:55;22:55;;;;
Sosnowe;;;21:04;;;22:11;;22:58;22:58;;;;
Grodziszcze Maz.;o;;21:08;;;22:15;;23:02;23:02;;;;
Mrozy;p;;21:12;;;22:19;;23:06;23:06;;;;
Mrozy;o;;21:12;;;22:20;;23:07;23:07;;;;
Cegłów;o o;;21:17;;;22:24;;23:11;23:11;;;;
Mienia;;;21:20;;;22:27;;23:15;23:15;;;;
Barcząca;o o;;21:23;;;22:31;;23:19;23:19;;;;
Mińsk Maz. Anielina;;;21:26;;;22:34;;23:22;23:22;;;;
Mińsk Maz.;p;;21:28; ;;22:36;;23:25;23:25;;;;
Wrzosów;o o;;21:29;22:02;;22:37;;23:32;23:32;;;;
Wrzosów;;;21:34;22:06;;22:41;;23:36;23:36;;;;
Nowe Dębe Wielkie;o o;;21:37;22:09;;22:44;;23:39;23:39;;;;
Dębe Wielkie;;;21:39;22:11;;22:46;;23:41;23:41;;;;
Cisie;o o;;21:41;22:14;;22:49;;23:44;23:44;;;;
Halinów;;;21:44;22:17;;22:52;;23:47;23:47;;;;
Sulejówek Miłosna;p;;21:47;22:20;;22:55;;23:50;23:50;;;;
Sulejówek;o o;;21:48;22:20;;22:55;;23:51;23:51;;;;
Sulejówek;;;21:50;22:23;;22:57;;23:53;23:53;;;;
W-wa Wola Grzybowska;o o;;21:52;22:25;;23:00;;23:56;23:56;;;;
W-wa Wesoła;;;21:55;22:28;;23:02;;23:58;23:58;;;;
Warszawa Rembertów;p;;21:58;22:31;;23:06;;00:02;00:02;;;;
Warszawa Rembertów;o;;21:59;22:32;;23:07;;00:03;00:03;;;;
Warszawa Wschodnia;p;;22:05;22:38;;23:13;;00:09;00:09;;;;
Warszawa Wschodnia;o;;22:06;22:40;;23:14;;00:11;00:10;;;;
Warszawa Stadion;o o;;22:09;22:43;;23:16;;00:13;00:13;;;;
Warszawa Powiśle;;;22:11;22:45;;23:19;;00:16;00:15;;;;
Warszawa Śródmieście;o;;22:15;22:49;;23:22;;00:19;00:19;;;;
Warszawa Ochota;o p;;22:18;22:52;;23:25;;00:22;00:22;;;;
Warszawa Zachodnia;;;22:21;22:55;;23:28;;00:25;00:25;;;;
