R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
0;Warszawa Zachodnia Warszawa Ochota;o o;08:40;;09:17;09:21;09:47;;10:14;10:36;10:36;;11:17;11:47
2,175;;;08:44;;09:21;09:25;09:51;;10:18;10:40;10:40;;11:21;11:51
3,082;Warszawa Œródmieœcie;o;08:47;;09:24;09:28;09:54;;10:21;10:43;10:43;;11:24;11:54
3,082;Warszawa Centralna;p;< ;;< ;< ;< ;;< ;< ;< ;;< ;< 
;;o;< ;;< ;< ;< ;;< ;< ;< ;;< ;< 
4,872;Warszawa Powiœle Warszawa Stadion;o o;08:50;;09:27;09:31;09:57;;10:24;10:46;10:46;;11:27;11:57
6,278;;;08:52;;09:30;09:33;10:00;;10:26;10:48;10:48;;11:30;12:00
7,336;Warszawa Wschodnia;p;08:54;;09:32;09:35;10:02;;10:28;10:50;10:50;;11:32;12:02
;;o;08:59;;09:33;09:36;10:03;;10:29;10:51;10:51;;11:33;12:03
14,835;Warszawa Rembertów;p;09:05;;09:39;09:43;10:09;;10:36;10:57;10:58;;11:39;12:09
;;o;09:06;;09:40; ;10:10;;10:37;10:58;10:59;;11:40;12:10
19,467;W-wa Weso³a;o o;09:11;;09:44;;10:15;;10:41;11:02;11:03;;11:44;12:15
21,265;W-wa Wola Grzybowska;;09:13;;09:47;;10:17;;10:43;11:05;11:05;;11:47;12:17
23,071;Sulejówek;o;09:16;;09:49;;10:20;;10:46;11:07;11:08;;11:49;12:20
24,649;Sulejówek Mi³osna;p;09:17;;09:51;;10:21;;10:48;11:09;11:10;;11:51;12:21
;;o;09:18;;09:52;;10:22;;10:48;11:09;11:10;;11:52;12:22
28,746;Halinów Cisie;o o;09:21;;09:55;;10:25;;10:52;11:13;11:14;;11:56;12:25
31,895;;;09:24;;09:58;;10:28;;10:55;11:16;11:17;;11:59;12:28
34,433;Dêbe Wielkie;o o;09:27;;10:01;;10:31;;10:58;11:18;11:20;;12:02;12:31
35,743;Nowe Dêbe Wielkie;;09:29;;10:04;;10:33;;11:00;11:20;11:22;;12:04;12:33
38,882;Wrzosów;o;09:32;;10:07;;10:36;;11:03;11:23;11:25;;12:07;12:36
43,677;Miñsk Maz.;p;09:35;;10:12;;10:39;;11:07;11:27;11:29;;12:11;12:39
