stacja;latitude;longitude;cnt_arriva;cnt_kd;cnt_km;cnt_kw;cnt_ks;cnt_ic;cnt_pr;cnt_skm_t;cnt_skm_w
Brzeg G³ogowski;51.690608;15.920167;0;0;0;0;0;0;13;0;0
Brzesko Okocim;49.986389;20.611667;0;0;0;0;0;19;30;0;0
Brzeszcze;49.996203;19.155597;0;0;0;0;12;0;0;0;0
Brzeszcze Jawiszowic;49.9634226;19.1352224;0;0;0;0;12;0;0;0;0
Brzezie;52.687778;18.888333;13;0;0;0;0;0;2;0;0
Brzezinka Œredzka;51.22;16.834444;0;0;0;0;0;0;22;0;0
BrzeŸnica Bychawska;51.526389;22.739167;0;0;0;0;0;0;6;0;0
BrzeŸno;51.156944;23.619444;0;0;0;0;0;0;8;0;0
BrzeŸno Cz³uchowskie;53.670947;17.482122;0;0;0;0;0;0;6;0;0
Brzoza Bydgoska;53.028858;18.018758;6;0;0;0;0;0;8;0;0
Brzoza Toruñska;52.961389;18.685278;12;0;0;0;0;0;2;0;0
Brzozowica;51.953889;22.6225;0;0;0;0;0;0;15;0;0
Brzozowiec Gorzowski;52.653056;15.3675;0;0;0;0;0;0;8;0;0
Brzustów;51.493056;20.146944;0;0;0;0;0;1;4;0;0
Bucha³ów;51.910278;15.358611;0;0;0;0;0;0;8;0;0
Budachów;52.152222;15.0825;0;0;0;0;0;0;14;0;0
Budki Nowe;52.244444;18.561111;0;0;0;10;0;0;0;0;0
Budy G³ogowskie;50.1725;21.913056;0;0;0;0;0;0;9;0;0
Budziszowice;50.524723;17.536755;0;0;0;0;0;0;12;0;0
Budzyñ;52.890885;16.967154;0;0;0;0;0;1;16;0;0
Bujaki;53.466667;20.375833;0;0;0;0;0;0;8;0;0
Buk;52.343333;16.520278;0;0;0;15;0;3;4;0;0
Bukow.Przymiarki;50.27799;19.41093;0;0;0;0;0;0;8;0;0
Bukowa;50.859167;20.201389;0;0;0;0;0;2;14;0;0
Bukowice Trzebnickie;51.4;17.367778;0;0;0;0;0;0;3;0;0
Bukowiec Miedzyrzecki;52.385278;15.706111;0;0;0;0;0;0;8;0;0
Bukowina Sycowska;51.388056;17.583611;0;0;0;0;0;0;8;0;0
Bukowno;50.263889;19.461667;0;0;0;0;0;0;8;0;0
Bukowo;50.898648;18.108459;0;0;0;0;0;0;10;0;0
Bukowo Cz³uchowskie;53.572778;17.371389;0;0;0;0;0;0;8;0;0
Bukwald;53.866346;20.376327;0;0;0;0;0;0;4;0;0
Bulowice;49.876111;19.29;0;0;0;0;8;0;2;0;0
Burkat;53.275833;20.134722;0;0;0;0;0;0;6;0;0
Bursztynowo PO;53.401389;19.069722;20;0;0;0;0;0;0;0;0
Byczyna Kluczborska;51.114111;18.200075;0;0;0;0;0;0;8;0;0
Bydgoszcz Akademia;53.141111;18.138889;10;0;0;0;0;0;0;0;0
