R2;;;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
R2;;;11801;R2;R2;R2;R2;R2;R2;R2;R2;R2;19251;19251
Warszawa - Łuków ważny od 15.IX do 19.X;;;;93831;93830/1;21220/1;93831;19861;10457;93812/3;19863;19863;CZEREMSZAK;CZEREMSZAK
Km Od stacji : ;;;;(D) [1];(D) [2];(D);(D) [3];;;(D);(E);[4];[5];[6]
;;;;;Błonie;Radom;;;;Góra Kalwaria;;;;
0;Warszawa Zachodnia Warszawa Ochota;o o;;09:05;09:05;09:09;09:28;09:39;;10:05;10:39;10:39;;
2,175;;;;09:09;09:09;09:13;09:32;09:43;;10:09;10:43;10:43;;
3,082;Warszawa Śródmieście;o;;09:12;09:12;09:16;09:35;09:46;;10:12;10:46;10:46;;
3,082;Warszawa Centralna;p;;< ;< ;< ;< ;< ;;< ;< ;< ;;
;;o;;< ;< ;< ;< ;< ;;< ;< ;< ;;
4,872;Warszawa Powiśle Warszawa Stadion;o o;;09:15;09:15;09:19;09:38;09:49;;10:15;10:49;10:49;;
6,278;;;;09:17;09:17;09:21;09:40;09:51;;10:17;10:51;10:51;;
7,336;Warszawa Wschodnia;p;;09:19;09:19;09:23;09:42;09:53;;10:19;10:53;10:53; ; 
;;o;;09:20;09:20;09:31;09:43;09:54;;10:20;10:54;10:54;11:05;11:05
14,835;Warszawa Rembertów;p;;09:27;09:27;09:38;09:50;10:00;;10:27;11:01;11:01;11:13;11:13
;;o;;09:28;09:28; ;09:51;10:01;;10:28;11:02;11:02;11:16;11:16
19,467;W-wa Wesoła;o o;;09:32;09:32;;09:55;10:05;;10:32;11:06;11:06;|;|
21,265;W-wa Wola Grzybowska;;;09:35;09:35;;09:58;10:08;;10:35;11:08;11:08;|;|
23,071;Sulejówek;o;;09:37;09:37;;10:00;10:10;;10:37;11:10;11:11;|;|
24,649;Sulejówek Miłosna;p;;09:39;09:39;;10:02;10:12;;10:39;11:12;11:13;|;|
;;o;;09:40;09:40;;10:03;10:12;;10:40;11:13;11:13;|;|
28,746;Halinów Cisie;o o;;09:43;09:43;;10:06;10:16;;10:43;11:16;11:17;11:26;11:26
31,895;;;;09:47;09:47;;10:10;10:19;;10:47;11:19;11:20;|;|
34,433;Dębe Wielkie;o o;;09:50;09:50;;10:13;10:21;;10:50;11:22;11:23;|;|
35,743;Nowe Dębe Wielkie;;;09:52;09:52;;10:15;10:23;;10:52;11:24;11:25;|;|
38,882;Wrzosów;o;;09:55;09:55;;10:18;10:26;;10:55;11:27;11:28;|;|
43,677;Mińsk Maz.;p;;09:59;09:59;;10:22;10:30;;10:59;11:31;11:32;11:36;11:36
;;o;; ; ;; ;10:31;; ;11:32;11:33;11:38;11:38
46,169;Mińsk Maz. Anielina Barcząca;o o;;;;;;10:33;;;11:34;11:35;11:41;11:41
49,225;;;;;;;;10:36;;;11:37;11:38;|;|
53,486;Mienia Cegłów;o o;;;;;;10:40;;;11:41;11:42;|;|
56,866;;;;;;;;10:43;;;11:44;11:45;11:50;11:50
61,767;Mrozy;p;;;;;;10:46;;;11:47;11:49;11:54;11:54
66,876;Grodziszcze Maz.;o o;;;;;;10:47;;;11:48;11:49;11:55;11:55
;;;;;;;;10:51;;;11:52;11:53;|;|
71,847;Sosnowe Koszewnica;o o;;;;;;10:55;;;11:55;11:57;|;|
75,251;;;;;;;;10:58;;;11:59;12:00;|;|
80,51;Kotuń Sabinka;o o;;;;;;11:02;;;12:03;12:04;12:08;12:08
88,427;;;;;;;;11:07;;;12:08;12:10;|;|
92,945;Siedlce Zach.;o;;;;;;11:10;;;12:12;12:14;12:18;12:18
95,776;Siedlce;p; ;;;;;11:13; ;;12:15;12:16;12:21;12:21
;;o;10:25;;;;; ;11:35;; ; ;12:22;12:23
98,496;Siedlce Wschodnie;o o;10:28;;;;;;11:38;;;;;
100,417;Białki Siedleckie;;10:31;;;;;;11:41;;;;;
103,415;Kosiorki;o o;10:34;;;;;;11:44;;;;;
105,962;Borki Kosy;;10:37;;;;;;11:47;;;;;
110,404;Dziewule Radomyśl;o o;10:41;;;;;;11:51;;;;;
113,036;;;10:44;;;;;;11:54;;;;;
115,76;Krynka Łukowska;o p;10:47;;;;;;11:57;;;;;
123,53;Łuków;;10:52;;;;;;12:02;;;;;
Do stacji : ;;;Terespol;;;;;;;;;;Czeremcha;Czeremcha
[2]   kursuje od 30.IX w (D) LEGENDA :;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świąt (E) kursuje od poniedziałku do soboty oprócz świąt Kolorem niebieskim oznaczono poc. spółki Przewozy Regionalne.;;;;;;;;;;;;;;
UWAGI :;;;;;;;;;;;;;;
[1]   kursuje od 11.X w (D);;;;;;;;;;;;;;
[2]   kursuje do 27.IX w (D);;;;;;;;;;;;;;
[3]   kursuje 30.IX-10.X w (D);;;;;;;;;;;;;;
[4]   kursuje w (7);;;;;;;;;;;;;;
[5]   kursuje od 1.X;;;;;;;;;;;;;;
R2;;;11803;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2;R2
Warszawa - Łuków ważny od 15.IX do 19.X;;;;19807 (D);19865;10459;19809 (D);19867;10461 (D);19811 (D);19869;10463;21822/3;19871
Km Od stacji : ;;;;;;;;;;;;;;
;;;;;;;;;;;;;Radom;
0;Warszawa Zachodnia Warszawa Ochota;o o;;11:05;11:39;;12:05;12:39;;13:20;13:39;;14:05;14:39
2,175;;;;11:09;11:43;;12:09;12:43;;13:24;13:43;;14:09;14:43
3,082;Warszawa Śródmieście;o;;11:12;11:46;;12:12;12:46;;13:27;13:46;;14:12;14:46
3,082;Warszawa Centralna;p;;< ;< ;;< ;< ;;< ;< ;;< ;< 
;;o;;< ;< ;;< ;< ;;< ;< ;;< ;< 
4,872;Warszawa Powiśle Warszawa Stadion;o o;;11:15;11:49;;12:15;12:49;;13:30;13:49;;14:15;14:49
6,278;;;;11:17;11:51;;12:17;12:51;;13:32;13:51;;14:17;14:51
7,336;Warszawa Wschodnia;p;;11:19;11:53;;12:19;12:53;;13:34;13:53;;14:19;14:53
;;o;;11:20;11:54;;12:20;12:54;;13:36;13:54;;14:21;14:54
14,835;Warszawa Rembertów;p;;11:27;12:00;;12:27;13:00;;13:43;14:01;;14:29;15:00
;;o;;11:28;12:01;;12:28;13:01;;13:44;14:02;;14:32;15:01
19,467;W-wa Wesoła;o o;;11:32;12:05;;12:32;13:05;;13:48;14:06;;14:36;15:05
21,265;W-wa Wola Grzybowska;;;11:34;12:08;;12:34;13:08;;13:51;14:08;;14:38;15:08
23,071;Sulejówek;o;;11:37;12:10;;12:37;13:10;;13:53;14:10;;14:41;15:10
24,649;Sulejówek Miłosna;p;;11:39;12:12;;12:39;13:12;;13:55;14:12;;14:43;15:12
;;o;;11:39;12:12;;12:39;13:12;;13:56;14:12;;14:43;15:12
28,746;Halinów Cisie;o o;;11:43;12:16;;12:43;13:16;;13:59;14:16;;14:47;15:16
31,895;;;;11:46;12:19;;12:46;13:19;;14:03;14:19;;14:50;15:19
34,433;Dębe Wielkie;o o;;11:49;12:21;;12:49;13:21;;14:06;14:21;;14:53;15:21
35,743;Nowe Dębe Wielkie;;;11:51;12:23;;12:51;13:23;;14:08;14:23;;14:55;15:23
38,882;Wrzosów;o;;11:54;12:26;;12:54;13:26;;14:11;14:26;;14:59;15:26
43,677;Mińsk Maz.;p;;11:58;12:30;;12:58;13:30;;14:15;14:30;;15:04;15:30
;;o;; ;12:31;; ;13:31;; ;14:46;; ;15:31
46,169;Mińsk Maz. Anielina Barcząca;o o;;;12:33;;;13:33;;;14:48;;;15:33
49,225;;;;;12:36;;;13:36;;;14:51;;;15:36
53,486;Mienia Cegłów;o o;;;12:40;;;13:40;;;14:55;;;15:40
56,866;;;;;12:42;;;13:43;;;14:58;;;15:43
61,767;Mrozy;p;;;12:46;;;13:46;;;15:01;;;15:46
66,876;Grodziszcze Maz.;o o;;;12:53;;;13:47;;;15:02;;;15:47
;;;;;12:57;;;13:51;;;15:06;;;15:51
71,847;Sosnowe Koszewnica;o o;;;13:01;;;13:55;;;15:10;;;15:55
75,251;;;;;13:04;;;13:58;;;15:13;;;15:58
80,51;Kotuń Sabinka;o o;;;13:08;;;14:02;;;15:17;;;16:02
88,427;;;;;13:13;;;14:07;;;15:22;;;16:07
92,945;Siedlce Zach.;o;;;13:16;;;14:10;;;15:25;;;16:10
95,776;Siedlce;p; ;;13:19; ;;14:13; ;;15:28; ;;16:13
;;o;12:30;; ;13:35;; ;14:26;; ;15:33;; 
98,496;Siedlce Wschodnie;o o;12:33;;;13:38;;;14:29;;;15:36;;
100,417;Białki Siedleckie;;12:36;;;13:41;;;14:32;;;15:39;;
103,415;Kosiorki;o o;12:39;;;13:44;;;14:35;;;15:42;;
105,962;Borki Kosy;;12:42;;;13:47;;;14:38;;;15:45;;
110,404;Dziewule Radomyśl;o o;12:46;;;13:51;;;14:42;;;15:49;;
113,036;;;12:49;;;13:54;;;14:45;;;15:52;;
115,76;Krynka Łukowska;o p;12:52;;;13:57;;;14:48;;;15:55;;
123,53;Łuków;;12:57;;;14:02;;;14:53;;;16:00;;
Do stacji : ;;;Terespol;;;;;;;;;;;
[6]   kursuje do 30.IX LEGENDA :;;;;;;;;;;;;;;
(D) kursuje od poniedziałku do piątku oprócz świąt Kolorem niebieskim oznaczono poc. spółki Przewozy Regionalne.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
R2;;;R2;R2;11805;RE2;R2;RE2;R2;RE7;R2;R2;19230/1;R2
Warszawa - Łuków ważny od 15.IX do 19.X;;;11221 (D);21800/1;;19221;93805 (D);19221;19873;12201;21824/5;19813 (D);ŁUKOWIANKA;19875
Km Od stacji : ;;;;;;(D) [1];;(D) [2];;[3];[4];;(B);
;;;;CZACHÓWEK PŁD.;;;;;;;Radom;;WARSZAWA SŁUŻEW.;
0;Warszawa Zachodnia Warszawa Ochota;o o;14:57;15:05;;15:20 <;15:27;15:30 <;15:39;15:54;16:05;16:20;16:33 <;16:39
2,175;;;15:01;15:09;;;15:31;;15:43;15:58;16:09;16:24;;16:43
3,082;Warszawa Śródmieście;o;15:05;15:12;;< ;15:35;< ;15:46;16:01;16:12;16:27;< ;16:46
3,082;Warszawa Centralna;p;< ;< ;;15:24;< ;15:34;< ;< ;< ;< ;16:37;< 
;;o;< ;< ;;15:35;< ;15:35;< ;< ;< ;< ;16:40;< 
4,872;Warszawa Powiśle Warszawa Stadion;o o;15:07;15:15;;< ;15:37;< ;15:49;16:04;16:15;16:30;< ;16:49
6,278;;;15:10;15:17;;< ;15:40;< ;15:51;16:06;16:17;16:32;< ;16:51
7,336;Warszawa Wschodnia;p;15:12;15:19;;15:41;15:42;15:41;15:53;16:08;16:19;16:34;16:46;16:53
;;o;15:13;15:20;;15:42;15:44;15:42;15:54;16:09;16:21;16:35;16:47;16:54
14,835;Warszawa Rembertów;p;15:20;15:27;;|;15:51;|;16:00;|;16:28;16:42;|;17:00
;;o; ;15:28;;|;15:52;|;16:01;|;16:30;16:43;|;17:01
19,467;W-wa Wesoła;o o;;15:32;;|;15:56;|;16:05;|;16:34;16:47;|;17:05
21,265;W-wa Wola Grzybowska;;;15:35;;|;15:59;|;16:08;|;16:36;16:50;|;17:08
23,071;Sulejówek;o;;15:37;;|;16:01;|;16:10;|;16:39;16:52;|;17:10
24,649;Sulejówek Miłosna;p;;15:40;;|;16:03;|;16:12;16:23;16:41;16:54;|;17:12
;;o;;15:40;;|;16:04;|;16:12;16:24;16:41;17:01;|;17:12
28,746;Halinów Cisie;o o;;15:44;;15:58;16:07;15:58;16:16;|;16:45;17:05;17:02;17:16
31,895;;;;15:47;;|;16:10;|;16:19;|;16:48;17:08;|;17:19
34,433;Dębe Wielkie;o o;;15:50;;|;16:13;|;16:21;|;16:51;17:11;|;17:21
35,743;Nowe Dębe Wielkie;;;15:52;;|;16:15;|;16:23;|;16:53;17:13;|;17:23
38,882;Wrzosów;o;;15:55;;|;16:18;|;16:26;|;16:56;17:16;|;17:26
43,677;Mińsk Maz.;p;;15:59;;16:08;16:23;16:08;16:30;;17:00;17:20;17:10;17:30
;;o;; ;;16:09; ;16:09;16:31;; ; ;17:11;17:31
46,169;Mińsk Maz. Anielina Barcząca;o o;;;;|;;|;16:33;;;;|;17:33
49,225;;;;;;|;;|;16:36;;;;|;17:36
53,486;Mienia Cegłów;o o;;;;|;;|;16:40;;;;|;17:40
56,866;;;;;;16:16;;16:16;16:43;;;;17:18;17:43
